Area,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
ladu2023:High Peak,"91,079","4,282","4,766","5,203","4,536","4,195","4,734","5,406","5,263","5,249","5,808","7,322","7,600","6,753","5,490","5,599","4,087","2,511","2,275"
ladu2023:North East Derbyshire,"102,294","4,825","5,381","5,541","4,869","4,621","5,648","5,760","5,624","5,623","6,220","7,707","7,897","7,132","6,450","6,819","5,586","3,576","3,015"
ladu2023:South Derbyshire,"108,051","5,824","6,432","6,710","5,842","5,240","6,886","7,354","6,982","6,744","7,235","8,404","7,865","6,405","5,716","5,551","4,105","2,466","2,290"
ladu2023:Blaby,"103,271","5,642","6,226","6,191","5,466","4,827","5,962","6,999","6,885","6,350","6,594","7,322","7,186","6,388","5,420","5,727","4,337","3,018","2,731"
ladu2023:Charnwood,"182,906","9,060","9,844","9,964","12,830","15,845","10,818","11,749","11,661","10,731","10,843","12,319","11,760","10,572","9,353","9,396","7,024","4,600","4,537"
ladu2023:Harborough,"98,254","4,736","5,364","5,889","5,598","4,387","5,035","5,536","5,670","5,981","6,670","7,655","7,608","6,433","5,532","5,900","4,509","2,960","2,791"
ladu2023:Hinckley and Bosworth,"113,653","5,562","6,386","6,422","5,718","5,032","6,499","7,213","7,139","6,743","7,285","8,523","8,275","7,344","6,623","7,142","5,305","3,361","3,081"
ladu2023:Melton,"51,756","2,367","2,814","3,009","2,624","2,202","2,601","2,882","2,788","2,943","3,171","4,120","4,333","3,656","3,279","3,453","2,473","1,539","1,502"
ladu2023:North West Leicestershire,"105,004","5,430","5,851","6,104","5,503","5,840","6,159","6,808","6,492","6,300","7,082","8,107","7,665","6,507","5,667","5,987","4,539","2,667","2,296"
ladu2023:Oadby and Wigston,"57,788","2,867","3,466","3,520","4,153","2,973","3,173","3,498","3,582","3,510","3,422","3,869","3,875","3,562","2,972","3,073","2,380","1,835","2,058"
ladu2023:Boston,"70,815","3,704","4,144","4,384","3,799","3,607","4,194","4,768","4,734","4,285","4,479","4,883","4,961","4,374","3,835","3,819","2,917","1,973","1,955"
ladu2023:East Lindsey,"142,916","5,608","6,494","7,299","6,532","5,979","6,541","6,855","6,345","6,370","7,627","10,262","11,689","11,625","11,200","12,192","9,434","5,760","5,104"
ladu2023:Lincoln,"102,411","5,038","5,354","5,298","7,814","13,202","7,858","7,691","6,588","5,879","5,532","5,960","5,984","5,059","4,134","4,004","2,899","2,006","2,111"
ladu2023:North Kesteven,"118,502","5,451","6,535","6,705","6,043","5,542","6,595","7,123","6,998","6,561","7,308","9,019","9,112","7,741","6,692","7,613","5,938","4,108","3,418"
ladu2023:South Holland,"95,490","4,749","5,166","5,204","4,651","4,526","5,219","5,872","5,555","5,291","5,991","6,993","7,213","6,252","5,625","6,188","4,665","3,231","3,099"
ladu2023:South Kesteven,"143,751","6,676","8,102","8,855","7,554","6,159","7,477","8,039","8,174","8,520","9,325","10,888","10,942","9,699","8,578","9,108","7,017","4,406","4,232"
ladu2023:West Lindsey,"95,555","4,374","5,257","5,347","4,736","4,115","4,868","5,107","5,209","4,994","5,649","7,193","7,524","7,031","6,374","6,602","5,189","3,201","2,785"
ladu2023:Ashfield,"126,356","6,745","7,623","7,595","6,671","6,374","7,756","8,717","7,940","7,520","7,911","9,495","9,242","7,751","6,602","6,684","5,391","3,473","2,866"
ladu2023:Bassetlaw,"118,327","5,973","6,566","6,646","5,920","5,694","6,969","7,264","6,911","6,625","7,353","8,974","9,208","7,933","6,852","7,233","5,485","3,537","3,184"
ladu2023:Broxtowe,"110,796","5,238","6,055","6,006","5,635","6,311","7,023","7,432","7,103","6,384","6,707","7,849","7,877","6,851","6,033","6,710","4,987","3,361","3,234"
ladu2023:Gedling,"117,291","5,938","6,658","6,831","5,865","5,239","6,833","7,616","7,465","7,348","7,367","8,677","8,578","7,494","6,551","6,910","5,048","3,534","3,339"
ladu2023:Mansfield,"110,592","5,927","6,558","6,606","5,476","5,446","7,091","7,897","7,636","6,630","6,723","7,903","8,157","7,123","5,905","5,699","4,400","2,799","2,616"
ladu2023:Newark and Sherwood,"123,352","6,075","6,677","6,917","6,377","6,073","7,234","7,557","7,215","6,966","7,639","9,167","9,353","8,256","7,240","7,644","5,820","3,738","3,404"
ladu2023:Rushcliffe,"119,418","5,853","6,850","7,330","6,497","6,263","6,097","6,768","7,365","7,781","7,970","8,694","8,627","7,372","6,417","6,885","5,307","3,515","3,827"
"ladu2023:Herefordshire, County of","187,522","8,366","9,487","10,094","9,278","8,163","9,529","10,601","10,226","9,903","11,004","13,589","14,653","13,749","12,590","12,937","9,977","6,743","6,633"
ladu2023:Telford and Wrekin,"185,857","10,507","11,819","12,264","10,929","10,843","11,672","12,743","12,203","11,216","11,919","13,560","12,682","10,527","9,214","9,098","6,683","4,362","3,616"
ladu2023:Stoke-on-Trent,"258,102","15,499","16,869","16,927","14,980","16,766","17,005","19,028","17,669","15,566","15,462","16,974","16,319","14,468","12,420","11,911","8,782","6,012","5,445"
ladu2023:Shropshire,"324,669","14,338","16,199","17,276","17,125","15,429","16,807","18,032","17,335","16,782","19,496","24,300","25,629","23,265","20,806","21,877","17,384","11,536","11,053"
ladu2023:Cannock Chase,"100,595","5,528","5,695","5,668","5,153","5,216","6,697","7,087","6,442","5,685","6,303","7,756","7,544","6,116","5,334","5,341","4,072","2,672","2,286"
ladu2023:East Staffordshire,"124,486","6,956","7,500","7,674","6,884","6,479","7,977","8,769","8,190","7,622","7,808","9,025","8,704","7,644","6,218","6,214","4,758","3,129","2,935"
ladu2023:Lichfield,"106,883","5,205","5,639","5,828","5,516","5,091","5,950","6,150","6,030","6,124","6,848","8,080","7,953","6,745","6,202","6,918","5,910","3,693","3,001"
ladu2023:Newcastle-under-Lyme,"123,039","5,796","6,449","6,559","7,297","8,484","6,862","7,552","7,289","6,854","7,474","8,796","8,804","7,979","6,877","7,242","5,385","3,773","3,567"
ladu2023:South Staffordshire,"110,787","4,913","5,551","5,570","5,310","5,480","5,838","6,216","6,261","5,895","6,651","8,332","8,841","7,974","6,860","7,388","6,038","4,085","3,584"
ladu2023:Stafford,"137,201","6,658","7,402","7,724","6,587","6,345","7,793","8,561","8,260","8,149","8,576","10,342","10,209","8,997","7,926","8,396","6,747","4,549","3,980"
ladu2023:Staffordshire Moorlands,"95,975","4,052","4,742","5,213","4,861","4,130","4,571","4,995","4,985","4,864","6,004","7,763","7,638","6,860","6,344","6,992","5,330","3,541","3,090"
ladu2023:Tamworth,"78,842","4,419","4,657","4,918","4,242","4,204","5,058","5,663","5,225","4,693","5,077","5,792","5,220","4,647","4,327","4,217","3,075","1,851","1,557"
ladu2023:North Warwickshire,"65,338","3,240","3,633","3,643","3,325","3,087","3,737","4,130","3,863","3,550","4,098","5,096","5,122","4,473","3,699","3,956","3,032","1,901","1,753"
ladu2023:Nuneaton and Bedworth,"134,303","7,723","8,161","8,202","7,024","7,011","8,667","9,700","8,981","8,110","8,287","9,506","9,270","7,922","6,862","6,943","5,395","3,498","3,041"
ladu2023:Rugby,"114,835","6,377","7,073","7,310","6,348","5,540","7,195","8,386","8,245","7,715","7,587","8,132","7,707","6,287","5,153","5,374","4,545","3,054","2,807"
ladu2023:Stratford-on-Avon,"135,946","6,310","6,984","7,499","6,655","5,524","6,695","7,639","7,394","7,730","8,717","10,313","10,717","9,537","8,224","8,940","7,493","4,797","4,778"
ladu2023:Warwick,"148,693","7,418","8,152","8,103","8,922","11,020","9,456","10,658","9,889","9,562","9,449","10,028","9,716","8,102","7,044","7,265","5,869","3,971","4,069"
ladu2023:Bromsgrove,"99,449","5,122","5,688","6,081","5,399","4,370","4,878","5,468","5,859","5,979","6,526","7,503","7,390","6,333","5,707","5,755","4,739","3,250","3,402"
ladu2023:Malvern Hills,"79,969","3,085","3,927","4,364","4,425","3,322","3,475","3,747","3,752","4,113","4,710","5,966","6,558","6,056","5,477","5,950","4,679","3,172","3,191"
ladu2023:Redditch,"86,981","4,918","5,411","5,399","4,694","4,435","5,635","6,420","6,063","5,858","5,501","5,786","5,578","5,048","4,790","4,663","3,266","1,871","1,645"
ladu2023:Worcester,"103,628","5,226","5,772","5,984","6,115","7,471","7,069","7,399","6,886","6,539","6,553","7,355","7,103","5,750","4,985","4,902","3,614","2,503","2,402"
ladu2023:Wychavon,"133,084","6,246","6,962","7,120","6,680","5,750","6,786","7,670","7,481","7,405","8,248","10,048","10,381","9,097","8,413","8,985","6,860","4,633","4,319"
ladu2023:Wyre Forest,"101,791","4,784","5,553","5,641","5,053","4,686","5,389","5,920","5,566","5,464","6,230","7,709","7,582","6,438","6,229","7,212","5,729","3,523","3,083"
ladu2023:Birmingham,"1,143,285","74,310","81,000","83,119","85,145","93,133","82,408","84,400","80,805","74,345","67,893","69,968","62,819","53,020","42,684","37,299","28,452","20,749","21,736"
ladu2023:Coventry,"344,151","20,343","21,919","22,104","24,204","31,102","24,536","25,551","24,077","22,094","20,213","21,410","19,654","16,478","13,451","12,578","10,127","7,157","7,153"
ladu2023:Dudley,"323,591","18,063","19,758","19,255","18,036","17,001","20,235","21,425","20,209","19,038","19,796","23,462","22,254","18,801","16,817","16,951","13,997","9,583","8,910"
ladu2023:Sandwell,"341,895","22,025","24,431","24,478","22,219","20,364","22,234","24,814","24,571","23,179","22,237","23,102","20,925","17,322","13,985","12,611","9,801","7,087","6,510"
ladu2023:Solihull,"216,677","11,604","13,687","13,704","12,143","10,780","11,949","13,021","13,232","13,025","13,597","15,634","15,438","13,089","10,930","11,950","9,641","6,466","6,787"
ladu2023:Walsall,"284,392","18,103","19,519","19,548","17,633","16,108","17,850","19,494","19,162","17,347","17,188","19,207","18,047","15,535","12,897","12,495","9,961","7,463","6,835"
ladu2023:Wolverhampton,"264,260","16,260","17,752","18,107","15,568","15,746","17,009","18,787","18,419","17,377","16,896","18,062","16,552","14,131","11,940","10,842","8,194","6,232","6,386"
ladu2023:Peterborough,"216,470","14,107","15,761","15,629","12,810","11,639","15,185","17,323","17,289","15,409","13,863","13,687","12,440","10,525","8,656","8,117","5,785","4,053","4,192"
ladu2023:Luton,"224,958","15,882","16,608","16,751","15,300","15,390","16,331","17,681","17,697","16,590","14,149","13,788","12,377","9,970","7,786","6,402","4,815","3,750","3,691"
ladu2023:Southend-on-Sea,"180,655","10,089","10,853","11,105","9,386","9,372","11,057","11,909","12,160","12,220","12,217","12,516","12,533","10,570","8,752","9,177","7,000","4,663","5,076"
ladu2023:Thurrock,"175,933","12,169","12,631","12,446","10,594","9,536","11,639","13,984","13,855","12,480","11,619","11,796","10,825","8,406","6,730","6,731","4,601","3,041","2,850"
ladu2023:Bedford,"185,796","11,076","11,773","11,964","10,534","9,980","11,860","13,471","13,375","13,032","12,245","12,995","12,140","10,077","8,370","8,285","6,099","4,153","4,367"
ladu2023:Central Bedfordshire,"295,651","17,856","18,583","17,992","15,128","14,016","17,864","21,320","20,988","19,625","19,206","21,061","21,032","17,734","14,438","14,678","10,810","6,907","6,413"
ladu2023:Cambridge,"145,022","6,368","6,682","6,656","10,570","20,196","16,296","13,530","10,531","9,218","8,031","7,824","6,953","5,420","4,577","4,159","3,193","2,342","2,476"
ladu2023:East Cambridgeshire,"88,125","4,481","5,226","5,545","4,620","3,722","4,734","5,400","5,831","5,931","6,217","6,477","6,212","5,382","4,750","4,931","3,680","2,505","2,481"
ladu2023:Fenland,"102,731","5,198","5,781","5,563","5,107","5,073","6,108","6,545","6,233","5,744","6,174","7,334","7,612","6,683","6,187","6,320","4,811","3,185","3,073"
ladu2023:Huntingdonshire,"181,827","9,663","10,693","10,433","9,040","8,606","10,626","12,259","12,252","11,567","12,079","13,259","13,199","11,300","9,590","10,213","7,703","4,978","4,367"
ladu2023:South Cambridgeshire,"163,042","8,738","10,344","10,707","9,015","6,295","8,281","10,187","11,060","11,939","11,839","11,984","11,159","9,397","8,086","8,474","6,609","4,410","4,518"
ladu2023:Basildon,"187,718","12,172","12,527","11,982","10,521","9,525","12,154","13,917","13,228","12,033","11,851","12,970","12,296","10,548","8,384","8,714","6,340","4,285","4,271"
ladu2023:Braintree,"155,693","8,437","8,969","9,426","8,290","7,483","9,124","10,000","9,686","9,496","10,408","11,799","11,164","9,328","8,406","9,014","6,577","4,137","3,949"
ladu2023:Brentwood,"77,111","4,263","4,563","4,442","4,061","3,595","4,677","5,170","5,052","4,999","5,013","5,526","5,592","4,585","3,779","3,929","3,040","2,176","2,649"
ladu2023:Castle Point,"89,712","4,321","4,832","5,076","4,628","4,578","4,822","5,041","5,013","4,890","5,304","6,429","6,442","5,698","5,204","6,343","4,953","3,224","2,914"
ladu2023:Chelmsford,"181,827","9,856","10,832","10,918","9,984","9,087","11,411","12,383","12,259","12,235","12,298","12,965","12,089","10,234","8,797","9,530","7,198","4,830","4,921"
ladu2023:Colchester,"192,658","10,699","11,818","11,635","11,001","13,861","12,429","13,568","12,926","12,616","12,348","13,004","12,148","10,095","8,612","9,564","7,153","4,603","4,578"
ladu2023:Epping Forest,"134,941","7,912","7,588","7,943","7,154","6,790","7,551","8,838","8,913","9,085","8,811","9,983","9,853","8,150","6,749","6,860","5,354","3,612","3,795"
ladu2023:Harlow,"93,428","6,232","6,612","6,327","5,166","4,814","6,333","7,755","7,468","6,547","5,640","5,952","5,852","4,995","4,117","3,387","2,498","1,757","1,976"
ladu2023:Maldon,"66,611","3,080","3,421","3,620","3,468","3,178","3,347","3,443","3,374","3,483","4,161","5,234","5,287","4,813","4,203","4,615","3,538","2,264","2,082"
ladu2023:Rochford,"86,181","4,282","4,644","5,165","4,546","4,247","4,448","4,771","4,921","5,044","5,523","6,554","6,362","5,518","4,766","5,506","4,280","2,814","2,790"
ladu2023:Tendring,"148,925","6,687","7,508","7,805","7,022","6,773","7,177","7,575","6,997","7,048","8,024","10,102","11,211","10,859","10,423","11,949","9,438","6,232","6,095"
ladu2023:Uttlesford,"91,921","4,958","5,748","5,899","5,214","4,009","4,407","5,177","5,779","6,047","6,234","7,063","6,860","5,904","4,847","5,013","3,757","2,429","2,576"
ladu2023:Broxbourne,"99,142","5,903","6,226","6,260","5,608","5,212","6,018","6,992","7,117","6,743","6,373","7,122","6,803","5,486","4,361","4,426","3,471","2,530","2,491"
ladu2023:Dacorum,"155,211","9,489","9,883","10,045","8,239","7,074","9,043","10,846","11,103","11,041","10,609","10,874","10,746","9,102","7,326","6,993","5,161","3,611","4,026"
ladu2023:Hertsmere,"108,129","6,306","6,798","7,080","6,304","5,447","6,115","6,723","7,664","7,855","7,477","7,537","7,483","6,055","4,896","4,943","3,790","2,656","3,000"
ladu2023:North Hertfordshire,"133,583","7,381","8,212","8,276","6,877","5,883","7,572","8,685","9,017","9,457","9,447","9,495","9,423","7,828","6,542","6,755","5,132","3,645","3,956"
ladu2023:Three Rivers,"93,934","5,058","5,927","6,480","5,535","4,444","4,795","5,425","6,283","6,881","6,937","6,929","6,709","5,524","4,432","4,432","3,377","2,245","2,521"
ladu2023:Watford,"102,507","6,539","6,835","6,747","5,691","5,342","7,478","8,824","8,996","8,371","7,328","6,849","5,853","4,672","3,622","3,300","2,461","1,754","1,845"
ladu2023:Breckland,"142,160","6,750","7,671","7,761","6,852","6,691","8,086","8,615","7,894","7,747","8,476","10,066","10,627","9,410","8,771","9,604","7,457","4,947","4,735"
ladu2023:Broadland,"132,238","5,922","6,829","7,184","6,435","5,630","6,479","7,130","7,450","7,643","8,480","9,909","9,982","8,875","8,184","9,210","7,024","4,984","4,888"
ladu2023:Great Yarmouth,"100,179","4,951","5,370","5,731","5,195","5,047","5,692","5,985","5,624","5,356","5,912","7,107","7,390","6,669","6,199","6,585","5,142","3,218","3,006"
ladu2023:King's Lynn and West Norfolk,"154,920","7,218","8,359","8,246","7,360","7,289","8,608","9,132","8,616","8,039","9,020","10,721","11,450","10,639","9,865","10,735","8,452","5,640","5,531"
ladu2023:North Norfolk,"103,239","3,580","4,406","4,814","4,506","3,921","4,260","4,609","4,618","4,452","5,447","7,083","8,132","8,641","8,363","9,410","7,220","4,759","5,018"
ladu2023:Norwich,"143,217","6,856","7,570","7,345","9,415","16,632","11,955","11,700","10,401","9,034","8,222","8,147","7,863","6,476","5,803","5,670","4,128","2,860","3,140"
ladu2023:South Norfolk,"142,509","6,912","8,154","8,083","7,102","5,989","7,265","8,172","8,562","8,346","9,157","10,171","10,432","9,446","8,441","9,386","7,331","4,825","4,735"
ladu2023:Babergh,"92,724","3,981","4,700","5,178","4,857","4,033","4,314","4,791","4,756","5,059","5,731","6,901","7,273","6,428","5,948","6,767","5,311","3,461","3,235"
ladu2023:Ipswich,"139,638","8,237","8,992","8,811","8,147","7,948","9,823","10,756","10,169","9,404","8,847","9,272","8,670","7,368","6,302","6,007","4,372","3,129","3,384"
ladu2023:Mid Suffolk,"103,398","4,489","5,180","5,672","5,341","4,761","5,473","5,746","5,564","5,592","6,328","7,607","8,090","7,398","6,744","7,259","5,396","3,473","3,285"
ladu2023:St Albans,"148,624","8,545","10,225","11,046","8,717","6,058","7,359","8,642","9,800","11,514","11,743","11,273","10,035","7,970","6,500","6,487","5,068","3,605","4,037"
ladu2023:Welwyn Hatfield,"119,747","6,690","7,251","7,106","7,723","10,582","7,814","8,147","8,305","8,031","7,452","7,694","7,598","6,414","4,908","4,675","3,612","2,714","3,031"
ladu2023:East Hertfordshire,"150,662","8,308","8,884","9,790","8,510","6,940","8,804","9,689","9,698","10,167","10,826","11,407","10,987","9,000","7,214","7,435","5,348","3,714","3,941"
ladu2023:Stevenage,"89,360","5,529","5,893","5,753","4,841","4,716","6,122","7,245","6,813","5,947","5,486","6,156","6,277","4,997","3,785","3,428","2,562","1,832","1,978"
ladu2023:East Suffolk,"246,776","10,567","12,453","13,553","12,577","10,840","11,918","12,558","12,272","12,712","14,509","17,562","18,723","17,741","16,625","18,613","14,327","9,338","9,888"
ladu2023:West Suffolk,"180,813","9,778","10,289","9,961","8,918","10,621","12,477","12,965","11,725","10,786","10,850","12,356","12,112","10,358","9,053","10,150","7,900","5,427","5,087"
ladu2023:City of London,"8,689",215,164,173,220,994,"1,246","1,007",707,558,525,657,523,460,408,326,217,164,125
ladu2023:Barking and Dagenham,"218,714","17,077","18,191","18,260","15,511","13,166","15,056","17,944","18,500","17,012","14,953","13,892","11,389","8,627","6,009","4,761","3,343","2,528","2,495"
ladu2023:Barnet,"388,955","23,930","25,087","25,764","22,196","22,068","27,468","29,896","30,512","30,090","27,444","25,653","23,027","19,254","15,480","14,464","10,698","7,290","8,634"
ladu2023:Bexley,"246,637","14,867","16,105","16,506","14,370","13,562","14,695","17,101","17,646","17,246","15,926","17,210","16,689","13,683","10,671","10,500","7,920","5,953","5,987"
ladu2023:Brent,"339,248","19,984","19,781","20,835","20,750","24,319","28,927","29,497","27,533","25,461","23,052","22,729","19,957","16,532","12,469","9,685","7,061","5,441","5,235"
ladu2023:Bromley,"329,899","19,287","20,547","20,926","17,813","14,661","18,132","22,087","24,615","25,166","23,638","23,849","22,449","18,368","14,406","15,321","11,491","8,075","9,068"
ladu2023:Camden,"210,968","10,092","9,815","10,435","13,273","20,619","22,209","20,663","16,531","14,537","13,406","13,300","11,813","9,262","7,229","6,481","4,964","3,266","3,073"
ladu2023:Croydon,"390,691","25,039","24,838","25,464","22,829","21,580","27,149","31,365","31,047","28,586","25,987","26,959","25,962","20,452","15,380","13,741","9,913","7,183","7,217"
ladu2023:Ealing,"366,762","21,345","22,019","23,571","22,080","22,616","28,556","30,472","30,521","29,729","26,530","24,735","22,009","17,792","13,707","11,440","8,045","5,991","5,604"
ladu2023:Enfield,"329,876","21,025","22,508","24,124","21,836","19,128","21,115","22,854","23,702","24,567","22,710","22,604","21,095","17,290","12,901","11,179","8,292","6,455","6,491"
ladu2023:Greenwich,"289,537","18,922","18,729","18,198","16,114","18,318","24,658","27,863","25,739","23,028","19,609","18,978","16,201","12,710","9,441","7,967","5,719","3,804","3,539"
ladu2023:Hackney,"260,082","16,264","15,131","15,375","14,375","18,387","31,848","31,993","23,621","18,632","15,597","14,495","13,458","10,176","7,181","5,470","3,464","2,371","2,244"
ladu2023:Hammersmith and Fulham,"183,310","9,035","8,764","8,998","8,269","16,834","23,342","19,375","14,871","12,865","12,094","11,895","10,334","7,519","5,792","5,010","3,564","2,568","2,181"
ladu2023:Haringey,"264,317","14,953","14,761","15,519","14,721","16,242","23,707","25,729","23,517","21,218","19,151","18,490","16,340","11,991","8,974","7,154","4,960","3,574","3,316"
ladu2023:Harrow,"261,159","15,591","16,055","16,408","15,414","15,015","18,307","20,288","20,955","19,960","17,033","16,384","15,346","13,896","11,676","9,897","7,512","5,655","5,767"
ladu2023:Havering,"262,086","16,378","16,909","16,042","14,593","14,038","16,729","19,189","19,227","17,511","16,136","17,279","17,030","14,830","11,842","12,060","8,938","6,344","7,011"
ladu2023:Hillingdon,"305,107","19,716","20,397","19,992","18,538","19,679","20,445","23,461","24,800","23,597","20,143","19,839","18,169","14,999","11,765","10,311","7,564","5,685","6,007"
ladu2023:Hounslow,"288,164","17,946","18,934","18,706","16,581","16,606","20,731","24,621","25,697","24,213","20,868","19,090","16,546","13,355","10,663","8,961","6,200","4,374","4,072"
ladu2023:Islington,"217,050","11,226","9,943","9,982","10,509","18,380","28,866","27,350","19,230","14,789","12,637","12,727","12,069","8,879","6,536","5,412","3,643","2,529","2,343"
ladu2023:Kensington and Chelsea,"144,266","6,150","6,315","6,500","6,822","12,402","13,255","12,169","10,511","9,635","10,107","11,021","10,621","7,947","5,914","5,467","4,147","2,783","2,500"
ladu2023:Kingston upon Thames,"167,992","9,493","10,433","10,593","9,536","11,010","10,909","12,237","12,881","13,465","12,704","11,687","10,251","8,280","6,730","6,595","4,677","3,148","3,363"
ladu2023:Lambeth,"317,691","15,141","14,850","15,339","15,072","26,332","45,871","36,473","26,223","22,491","20,245","20,416","18,423","13,291","9,128","6,933","4,692","3,554","3,217"
ladu2023:Lewisham,"300,013","18,977","17,993","17,567","15,868","18,582","27,392","30,550","27,375","23,759","20,763","19,934","18,747","13,647","9,117","7,126","5,100","3,913","3,603"
ladu2023:Merton,"215,426","13,400","13,250","13,205","10,933","11,175","16,937","19,102","18,927","18,096","15,652","14,453","12,675","10,329","7,962","7,107","4,841","3,749","3,633"
ladu2023:Newham,"351,256","23,941","23,291","23,357","22,248","27,924","35,789","36,471","32,543","27,573","22,836","20,530","16,452","12,810","9,327","6,335","4,039","3,140","2,650"
ladu2023:Redbridge,"310,130","21,128","21,647","21,350","19,677","18,866","21,612","24,569","26,043","24,844","21,270","19,409","17,022","14,528","11,380","9,609","6,778","5,103","5,295"
ladu2023:Richmond upon Thames,"195,315","10,942","12,695","13,263","10,528","8,344","9,839","11,973","14,131","16,268","16,157","15,447","13,680","10,397","8,370","8,725","6,339","4,068","4,149"
ladu2023:Southwark,"306,762","16,086","15,863","16,225","16,002","25,067","38,061","34,996","26,250","21,731","20,008","19,417","17,734","13,302","8,627","6,652","4,435","3,284","3,022"
ladu2023:Sutton,"209,617","12,613","14,217","14,463","11,673","9,935","12,268","14,552","16,503","17,211","15,249","14,697","13,648","10,721","8,663","8,225","6,129","4,234","4,616"
ladu2023:Tower Hamlets,"312,715","19,071","17,846","17,450","18,137","32,111","45,083","41,079","30,067","22,908","17,826","13,993","10,962","8,559","6,114","4,364","2,856","2,216","2,073"
ladu2023:Waltham Forest,"278,147","18,937","17,458","16,679","15,314","15,399","21,955","28,254","27,111","23,143","19,442","18,093","15,634","12,131","8,915","7,169","5,202","3,813","3,498"
ladu2023:Wandsworth,"328,429","18,645","16,929","15,701","13,331","23,230","48,078","38,760","29,236","24,543","20,949","18,765","16,378","12,239","9,206","8,305","5,883","4,184","4,067"
ladu2023:Westminster,"205,759","8,574","7,795","8,654","10,660","19,454","23,759","21,081","16,217","14,090","13,765","14,393","12,602","9,706","7,365","6,364","4,798","3,307","3,175"
ladu2023:Medway,"279,903","17,286","18,277","18,070","16,408","15,811","18,099","20,372","19,532","18,484","17,583","19,070","18,783","15,794","12,981","12,908","9,156","6,013","5,276"
ladu2023:Bracknell Forest,"125,195","7,138","7,796","8,134","7,199","6,509","8,260","9,332","9,415","9,187","8,774","9,042","8,383","7,017","5,524","5,033","3,613","2,427","2,412"
ladu2023:West Berkshire,"161,864","8,200","9,629","10,651","9,417","7,398","8,621","9,654","10,092","10,583","11,413","12,594","11,769","10,054","8,492","8,592","6,494","4,166","4,045"
ladu2023:Reading,"173,371","10,119","10,491","10,238","10,491","14,524","14,366","15,514","14,603","12,865","11,278","10,733","9,556","7,484","5,865","5,368","4,060","2,888","2,928"
ladu2023:Slough,"158,448","11,597","12,668","12,887","10,189","8,900","10,489","12,672","14,460","13,762","11,141","9,603","8,034","6,629","5,142","3,870","2,515","1,966","1,924"
ladu2023:Windsor and Maidenhead,"153,922","7,956","9,178","10,364","9,349","6,880","8,013","9,273","10,308","11,231","11,382","11,724","10,818","8,936","7,213","7,300","5,670","4,027","4,300"
ladu2023:Wokingham,"178,231","9,823","12,105","12,528","10,393","8,320","9,392","10,677","12,519","13,879","13,308","12,643","11,947","9,918","7,817","8,066","6,197","4,288","4,411"
ladu2023:Milton Keynes,"288,312","17,677","20,184","20,692","16,898","15,023","18,882","22,081","23,041","22,492","20,302","19,319","17,182","14,607","12,228","11,228","7,389","4,713","4,374"
ladu2023:Brighton and Hove,"276,454","11,657","13,009","14,137","16,661","28,028","20,818","20,624","19,506","19,322","20,192","20,946","18,575","13,742","10,937","10,299","7,316","5,067","5,618"
ladu2023:Portsmouth,"207,119","11,218","12,123","11,707","13,515","20,007","15,172","15,887","15,060","12,675","12,099","13,277","12,853","10,581","8,431","8,170","6,007","4,081","4,256"
ladu2023:Southampton,"247,672","13,748","14,271","13,977","15,679","25,744","20,562","20,174","18,351","16,487","14,619","14,057","13,797","11,800","9,661","8,967","6,740","4,462","4,576"
ladu2023:Isle of Wight,"140,885","5,570","6,795","7,060","6,515","5,983","6,674","7,228","6,918","7,038","7,779","10,227","11,206","10,592","10,491","11,183","8,861","5,350","5,415"
ladu2023:Buckinghamshire,"555,161","30,863","34,967","36,958","31,726","25,922","29,983","34,301","36,313","38,370","38,246","40,641","39,425","32,973","26,948","26,951","20,895","14,653","15,026"
ladu2023:Eastbourne,"101,601","4,687","5,477","5,763","5,387","5,170","5,592","6,076","5,932","5,948","6,104","6,880","7,148","6,382","5,798","6,482","5,058","3,628","4,089"
ladu2023:Hastings,"90,974","4,787","5,164","5,301","4,723","4,454","5,293","5,965","5,708","5,504","5,834","6,909","6,967","5,868","5,171","5,146","3,591","2,276","2,313"
ladu2023:Lewes,"100,166","4,500","5,255","5,778","5,317","4,177","4,244","5,224","5,462","5,573","6,255","7,434","7,484","6,796","6,429","6,986","5,430","3,711","4,111"
ladu2023:Rother,"93,409","3,681","4,193","4,770","4,395","3,747","3,917","4,166","4,015","4,186","4,986","6,481","7,394","7,060","6,932","8,214","6,451","4,234","4,587"
ladu2023:Wealden,"160,711","7,233","8,447","9,046","8,306","6,695","7,310","8,104","8,089","8,439","9,809","12,008","12,819","11,628","10,401","11,471","9,150","5,809","5,947"
ladu2023:Basingstoke and Deane,"185,713","10,438","11,567","11,247","9,394","9,207","11,870","13,668","13,198","12,785","12,876","13,676","13,047","10,471","8,544","8,897","6,562","4,370","3,896"
ladu2023:East Hampshire,"126,192","5,971","6,936","7,464","7,002","5,378","6,200","6,753","7,017","7,528","8,350","9,586","9,894","8,758","7,367","7,680","6,047","4,108","4,153"
