Area,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
lacu2023:Greenwich,"289,537","18,922","18,729","18,198","16,114","18,318","24,658","27,863","25,739","23,028","19,609","18,978","16,201","12,710","9,441","7,967","5,719","3,804","3,539"
lacu2023:Hackney,"260,082","16,264","15,131","15,375","14,375","18,387","31,848","31,993","23,621","18,632","15,597","14,495","13,458","10,176","7,181","5,470","3,464","2,371","2,244"
lacu2023:Hammersmith and Fulham,"183,310","9,035","8,764","8,998","8,269","16,834","23,342","19,375","14,871","12,865","12,094","11,895","10,334","7,519","5,792","5,010","3,564","2,568","2,181"
lacu2023:Haringey,"264,317","14,953","14,761","15,519","14,721","16,242","23,707","25,729","23,517","21,218","19,151","18,490","16,340","11,991","8,974","7,154","4,960","3,574","3,316"
lacu2023:Harrow,"261,159","15,591","16,055","16,408","15,414","15,015","18,307","20,288","20,955","19,960","17,033","16,384","15,346","13,896","11,676","9,897","7,512","5,655","5,767"
lacu2023:Havering,"262,086","16,378","16,909","16,042","14,593","14,038","16,729","19,189","19,227","17,511","16,136","17,279","17,030","14,830","11,842","12,060","8,938","6,344","7,011"
lacu2023:Hillingdon,"305,107","19,716","20,397","19,992","18,538","19,679","20,445","23,461","24,800","23,597","20,143","19,839","18,169","14,999","11,765","10,311","7,564","5,685","6,007"
lacu2023:Hounslow,"288,164","17,946","18,934","18,706","16,581","16,606","20,731","24,621","25,697","24,213","20,868","19,090","16,546","13,355","10,663","8,961","6,200","4,374","4,072"
lacu2023:Islington,"217,050","11,226","9,943","9,982","10,509","18,380","28,866","27,350","19,230","14,789","12,637","12,727","12,069","8,879","6,536","5,412","3,643","2,529","2,343"
lacu2023:Kensington and Chelsea,"144,266","6,150","6,315","6,500","6,822","12,402","13,255","12,169","10,511","9,635","10,107","11,021","10,621","7,947","5,914","5,467","4,147","2,783","2,500"
lacu2023:Kingston upon Thames,"167,992","9,493","10,433","10,593","9,536","11,010","10,909","12,237","12,881","13,465","12,704","11,687","10,251","8,280","6,730","6,595","4,677","3,148","3,363"
lacu2023:Lambeth,"317,691","15,141","14,850","15,339","15,072","26,332","45,871","36,473","26,223","22,491","20,245","20,416","18,423","13,291","9,128","6,933","4,692","3,554","3,217"
lacu2023:Lewisham,"300,013","18,977","17,993","17,567","15,868","18,582","27,392","30,550","27,375","23,759","20,763","19,934","18,747","13,647","9,117","7,126","5,100","3,913","3,603"
lacu2023:Merton,"215,426","13,400","13,250","13,205","10,933","11,175","16,937","19,102","18,927","18,096","15,652","14,453","12,675","10,329","7,962","7,107","4,841","3,749","3,633"
lacu2023:Newham,"351,256","23,941","23,291","23,357","22,248","27,924","35,789","36,471","32,543","27,573","22,836","20,530","16,452","12,810","9,327","6,335","4,039","3,140","2,650"
lacu2023:Redbridge,"310,130","21,128","21,647","21,350","19,677","18,866","21,612","24,569","26,043","24,844","21,270","19,409","17,022","14,528","11,380","9,609","6,778","5,103","5,295"
lacu2023:Richmond upon Thames,"195,315","10,942","12,695","13,263","10,528","8,344","9,839","11,973","14,131","16,268","16,157","15,447","13,680","10,397","8,370","8,725","6,339","4,068","4,149"
lacu2023:Southwark,"306,762","16,086","15,863","16,225","16,002","25,067","38,061","34,996","26,250","21,731","20,008","19,417","17,734","13,302","8,627","6,652","4,435","3,284","3,022"
lacu2023:Sutton,"209,617","12,613","14,217","14,463","11,673","9,935","12,268","14,552","16,503","17,211","15,249","14,697","13,648","10,721","8,663","8,225","6,129","4,234","4,616"
lacu2023:Tower Hamlets,"312,715","19,071","17,846","17,450","18,137","32,111","45,083","41,079","30,067","22,908","17,826","13,993","10,962","8,559","6,114","4,364","2,856","2,216","2,073"
lacu2023:Waltham Forest,"278,147","18,937","17,458","16,679","15,314","15,399","21,955","28,254","27,111","23,143","19,442","18,093","15,634","12,131","8,915","7,169","5,202","3,813","3,498"
lacu2023:Wandsworth,"328,429","18,645","16,929","15,701","13,331","23,230","48,078","38,760","29,236","24,543","20,949","18,765","16,378","12,239","9,206","8,305","5,883","4,184","4,067"
lacu2023:Westminster,"205,759","8,574","7,795","8,654","10,660","19,454","23,759","21,081","16,217","14,090","13,765","14,393","12,602","9,706","7,365","6,364","4,798","3,307","3,175"
lacu2023:Medway,"279,903","17,286","18,277","18,070","16,408","15,811","18,099","20,372","19,532","18,484","17,583","19,070","18,783","15,794","12,981","12,908","9,156","6,013","5,276"
lacu2023:Bracknell Forest,"125,195","7,138","7,796","8,134","7,199","6,509","8,260","9,332","9,415","9,187","8,774","9,042","8,383","7,017","5,524","5,033","3,613","2,427","2,412"
lacu2023:West Berkshire,"161,864","8,200","9,629","10,651","9,417","7,398","8,621","9,654","10,092","10,583","11,413","12,594","11,769","10,054","8,492","8,592","6,494","4,166","4,045"
lacu2023:Reading,"173,371","10,119","10,491","10,238","10,491","14,524","14,366","15,514","14,603","12,865","11,278","10,733","9,556","7,484","5,865","5,368","4,060","2,888","2,928"
lacu2023:Slough,"158,448","11,597","12,668","12,887","10,189","8,900","10,489","12,672","14,460","13,762","11,141","9,603","8,034","6,629","5,142","3,870","2,515","1,966","1,924"
lacu2023:Windsor and Maidenhead,"153,922","7,956","9,178","10,364","9,349","6,880","8,013","9,273","10,308","11,231","11,382","11,724","10,818","8,936","7,213","7,300","5,670","4,027","4,300"
lacu2023:Wokingham,"178,231","9,823","12,105","12,528","10,393","8,320","9,392","10,677","12,519","13,879","13,308","12,643","11,947","9,918","7,817","8,066","6,197","4,288","4,411"
lacu2023:Milton Keynes,"288,312","17,677","20,184","20,692","16,898","15,023","18,882","22,081","23,041","22,492","20,302","19,319","17,182","14,607","12,228","11,228","7,389","4,713","4,374"
lacu2023:Brighton and Hove,"276,454","11,657","13,009","14,137","16,661","28,028","20,818","20,624","19,506","19,322","20,192","20,946","18,575","13,742","10,937","10,299","7,316","5,067","5,618"
lacu2023:Portsmouth,"207,119","11,218","12,123","11,707","13,515","20,007","15,172","15,887","15,060","12,675","12,099","13,277","12,853","10,581","8,431","8,170","6,007","4,081","4,256"
